标题,播放数,连接
华语 | 我没有很想你，只是经常梦见你,517万,http://music.163.com/playlist?id=2172208421
五一假期，相约泰山听云上之声♫,12万,http://music.163.com/playlist?id=2168738004
City pop | 脱丧俱乐部里的复古蜜色,11万,http://music.163.com/playlist?id=2180830258
戏中的情爱，与你的故事无关,268万,http://music.163.com/playlist?id=2187129244
我爱你 第一句是假的 第二句也是假的,1269万,http://music.163.com/playlist?id=2144281377
嘘，听他们为你唱首情歌,126万,http://music.163.com/playlist?id=2172125110
魔法料理：50%电音加上50%萌音！,29万,http://music.163.com/playlist?id=2176407608
华语 | 三行情书 两滴眼泪 一段爱情,348万,http://music.163.com/playlist?id=2169331863
绝美鼓乐集｜華枝春滿 天心月圓,177万,http://music.163.com/playlist?id=2148086011
2018年4月新番动画歌曲合集(更新中）,22万,http://music.163.com/playlist?id=2157196073
华语女声 那些闪闪发光的吉他小姐姐,133万,http://music.163.com/playlist?id=2154093907
《头号玩家》来，跟老斯一起看电影&玩游戏,414万,http://music.163.com/playlist?id=2169355485
【经常请吃饭的漂亮姐姐】欧美插曲合集,12万,http://music.163.com/playlist?id=2169062252
『衣冠上国 礼义之邦』,55万,http://music.163.com/playlist?id=2186470464
华语｜让那些故事 都藏进时间里吧,285万,http://music.163.com/playlist?id=2154504854
踏春必备 | 轻快节奏让心情好到爆,239万,http://music.163.com/playlist?id=2171582996
日系民谣丨生活是一场又一场美好事物的追逐,57万,http://music.163.com/playlist?id=2177971936
【最爱金曲榜】那些琼瑶故事里的歌,58万,http://music.163.com/playlist?id=2183167064
樱花盛开的四月，听说跟想你很配。,61万,http://music.163.com/playlist?id=2182086484
『武侠梦』我应在江湖悠悠，饮一壶浊酒,455万,http://music.163.com/playlist?id=2167679218
「纯音/睡前/作业」所有东西都是回忆里最好,91万,http://music.163.com/playlist?id=2167786806
「国人纯音」净化心灵的旅行,36万,http://music.163.com/playlist?id=2168874857
五月天，耳机里的音乐，口袋里的心情,16万,http://music.163.com/playlist?id=2174233544
只是后来，我们没有在一起,47万,http://music.163.com/playlist?id=2186192589
『电音Ⅱ』℃ 泳池派对 夏日里的极致清凉,25万,http://music.163.com/playlist?id=2182958938
最美的极光，最浪漫的旋律【Kobalt精编】,30万,http://music.163.com/playlist?id=2182968376
你怎么蠢到我喜欢你都不知道,376万,http://music.163.com/playlist?id=2161325399
曾经的最流行，无数人的爱恨情,74万,http://music.163.com/playlist?id=2175768368
「所有的相遇」都是久别重逢,13万,http://music.163.com/playlist?id=2177570529
绝色复古︱幻游梦境 与你消磨时光,123万,http://music.163.com/playlist?id=2146256338
中国|UnderGround,24万,http://music.163.com/playlist?id=2177380434
『古风』幸得识卿桃花面 自此阡陌多暖春,190万,http://music.163.com/playlist?id=2166551532
Chicano Rappers墨裔美国说唱歌手,13万,http://music.163.com/playlist?id=2186584109
在柳絮如雪的季节，听见思念的声音,239万,http://music.163.com/playlist?id=2180451863
✙ ᴛʀᴀᴘ ʀᴀᴘ,14万,http://music.163.com/playlist?id=2159313543
果味诱惑｜蓝莓气泡水的甜蜜刺激,83万,http://music.163.com/playlist?id=2174629403
纯音丨努力到无能为力 拼搏到感动自己,56万,http://music.163.com/playlist?id=2163406672
「嗨爆」在宿舍御用的蹦迪歌曲,121万,http://music.163.com/playlist?id=2145434166
欧美丨留不住的人像风 至少风过无痕,73万,http://music.163.com/playlist?id=2178394851
Vicetunes,21万,http://music.163.com/playlist?id=2179239664
韩 ๓ 与你四季，在我这里你是整个春天,15万,http://music.163.com/playlist?id=2180690567
『四月是你的电音⚡️』蹦迪抖脚使我中毒残废,16万,http://music.163.com/playlist?id=2173296232
日系/帅气ο 光辉耀世 睥睨众生,14万,http://music.163.com/playlist?id=2171716416
耳朵叫醒身体|心里有迪，哪里都能蹦,108万,http://music.163.com/playlist?id=2162855831
歌词唱透了心声，回忆模糊了眼眸,1118万,http://music.163.com/playlist?id=2139324915
深蓝色的极致浪漫之音【Kobalt精编】,55万,http://music.163.com/playlist?id=2162709418
日系/甜歌 : 其实我有七个人格,28万,http://music.163.com/playlist?id=2143886044
岁月如潮水，将我向老歌推,1217万,http://music.163.com/playlist?id=2139305008
节奏带感且深邃性感 ️️这才系Deep House呀,867万,http://music.163.com/playlist?id=2139118830
「你好温柔 让人一瞬间想拿一生来深拥」,102万,http://music.163.com/playlist?id=2164995466
Future bass｜迷醉于怦然心动的音律,30万,http://music.163.com/playlist?id=2173343791
韩语～我又遇见你了，在梦里。,18万,http://music.163.com/playlist?id=2173920640
『日系』舌尖之声 醉人之律,23万,http://music.163.com/playlist?id=2162270632
吟 游 记 ‖只 想 做 个 堕 落 的 诗 人,91万,http://music.163.com/playlist?id=2158769818
你不知道我多羡慕你特立独行的样子,506万,http://music.163.com/playlist?id=2154763064
跟爵士乐一起开始春天的摇摆,16万,http://music.163.com/playlist?id=2187961418
我画地为牢，心若荒岛,10万,http://music.163.com/playlist?id=2188299812
民谣无深情，有的是伤心,21万,http://music.163.com/playlist?id=2155691251
「无前奏日语歌」你是开在我心尖的花呀,79万,http://music.163.com/playlist?id=2160130548
华语老歌|女人花似梦，摇曳红尘中,123万,http://music.163.com/playlist?id=2151717076
日系无前奏 丨 几秒内所带来的惊艳与感动,78万,http://music.163.com/playlist?id=2146803269
哼首欢快的歌 来拯救你的小确丧,703万,http://music.163.com/playlist?id=2144082923
生活，太需要这些节奏了,653万,http://music.163.com/playlist?id=2133712293
求求你们了，让我睡会儿好不好,688万,http://music.163.com/playlist?id=2131958935
欧美 暗恋的那些酸楚只有音乐知道,64万,http://music.163.com/playlist?id=2166910595
国风说唱：醉酒聆歌 爱恨几何,75万,http://music.163.com/playlist?id=2153197706
『韩语』青春是你和我一起最后的旅行,20万,http://music.163.com/playlist?id=2174208305
没有谁是一座孤岛,142万,http://music.163.com/playlist?id=2161375317
【世界再大，我眼里只有你】——粤语系列,10万,http://music.163.com/playlist?id=2155227031
无限循环！40首日系悦耳R&B女声,155万,http://music.163.com/playlist?id=2147760874
▪Vol.13 |Brazilian Bass异域妖鼓 邪魅低音,112万,http://music.163.com/playlist?id=2150374050
少年意气丨最坚硬的舌头 最swag的态度,86万,http://music.163.com/playlist?id=2177027157
ACG女声 | 永不凋谢的玫瑰,19万,http://music.163.com/playlist?id=2183402678
“生活很讨厌，还好我可爱”,55万,http://music.163.com/playlist?id=2149144282
『致逝者』心爱的人，永远守护着你,55万,http://music.163.com/playlist?id=2156782354
一百首‖让你瞬间勾起回忆的老歌,430万,http://music.163.com/playlist?id=2134203011
「钢琴」我伸出手，却只抱住风…,18万,http://music.163.com/playlist?id=2157747768
「钢琴」安静美好｜陌上花开，你已归来,29万,http://music.163.com/playlist?id=2157749749
电影丨头号玩家/玩家一号/READY PLAYER ONE,102万,http://music.163.com/playlist?id=2138786247
「甜美声线」清新俏皮 小女生风情,290万,http://music.163.com/playlist?id=2129728437
台湾偶像剧黄金年代|记忆是阵阵花香,627万,http://music.163.com/playlist?id=2134421380
运动健身必备Pop Punk丨戴上耳机世界属于你,163万,http://music.163.com/playlist?id=2142690198
下次理发我要让我的Tony播放这个歌单,1339万,http://music.163.com/playlist?id=2120785460
江湖｜任我游戏任我笑 任我琴狂剑也傲,171万,http://music.163.com/playlist?id=2149031036
「每天想你一遍」无限温柔の日系少年,23万,http://music.163.com/playlist?id=2168815384
「情绪降温」在春风里听一首冷门日语歌,24万,http://music.163.com/playlist?id=2176928686
韩.想拥有你眼中的繁星点点（二）,10万,http://music.163.com/playlist?id=2172391752
世界再大，我的眼里只有你。,52万,http://music.163.com/playlist?id=2174615936
氤氲男嗓|| 陌上花已开 微醺入耳流于心,16万,http://music.163.com/playlist?id=2177601404
【抖腿神曲】蹦迪必备EDM歌曲,13万,http://music.163.com/playlist?id=2148358954
『气场Max』开口就能把你征服的女王音,55万,http://music.163.com/playlist?id=2150635048
【节奏控】那些一听就中毒的电音(纯音乐篇),465万,http://music.163.com/playlist?id=2120271089
"港片金曲｜相逢一场情""忆""满满演唱会",63万,http://music.163.com/playlist?id=2143006845
情话变歌词，我想陪你到世界的终结,10万,http://music.163.com/playlist?id=2159411547
头号玩家 | Ready Player One Playlist,15万,http://music.163.com/playlist?id=2162865921
想在阴天里听莫文蔚的电台情歌,357万,http://music.163.com/playlist?id=2129467457
华夏风骨●宫商角徵羽 五音传千年,35万,http://music.163.com/playlist?id=2146003213
百首悠扬纯音 · 奏响日系绚章,120万,http://music.163.com/playlist?id=2136453022
岁月留声 · 披头士和致敬者们,78万,http://music.163.com/playlist?id=2151475985
春夜 · 酒馆里的浪漫时光,44万,http://music.163.com/playlist?id=2148772313
纯音丨生命有裂缝，阳光才照得进来,23万,http://music.163.com/playlist?id=2148095581
你是一首旋律，被写在春天的风里,321万,http://music.163.com/playlist?id=2139819755
百部韩剧经典OST合集，纪念追剧时光,360万,http://music.163.com/playlist?id=2127472941
「新世纪」如沐朝阳的温暖与诗意,177万,http://music.163.com/playlist?id=2128571926
┆Take a bath┆关灯洗浴 水雾中是你,24万,http://music.163.com/playlist?id=2160646979
就做一阵风吧，有温柔也有英勇,169万,http://music.163.com/playlist?id=2131424601
韩Rap/Soul · 独自一人的车窗音乐,29万,http://music.163.com/playlist?id=2156207182
韩式撩人男嗓研究所,11万,http://music.163.com/playlist?id=2155958459
华语情歌° | 最痴情的男人像海洋,186万,http://music.163.com/playlist?id=2153717858
来日可期的等待化作最长情的告白,246万,http://music.163.com/playlist?id=2153089864
田馥甄最全歌曲正序集,54万,http://music.163.com/playlist?id=2125261392
我方少女心正在被攻击 请求支援！,22万,http://music.163.com/playlist?id=2133259867
「孤独与愁」霓虹雨巷 孑然一身,68万,http://music.163.com/playlist?id=2133607746
以丧止丧 听一首把自己感动到哭的丧的歌,703万,http://music.163.com/playlist?id=2141039987
迈克尔杰克逊的全曲（好不容易找到的）,11万,http://music.163.com/playlist?id=2133963969
【SHE全专辑集】,118万,http://music.163.com/playlist?id=2121558366
EDC 2018•CHINA电音节上海站阵容精选,21万,http://music.163.com/playlist?id=2124725250
『懒节奏』氛围里你的清晰衬托了孤寂¶,115万,http://music.163.com/playlist?id=2142593775
欧美电影台词对白｜念念不忘,163万,http://music.163.com/playlist?id=2128755383
黄舒骏推荐华语流行音乐30年必听歌曲,33万,http://music.163.com/playlist?id=2141392076
任贤齐：这里的表演很精彩,138万,http://music.163.com/playlist?id=2129466456
「 怀揣梦想 吃饭睡觉 保持可爱 」,11万,http://music.163.com/playlist?id=2178292535
戒不掉的女声 | 也许是你失眠的帮凶,184万,http://music.163.com/playlist?id=2155625233
「开口沉醉」慵懒迷离的欧美女声,68万,http://music.163.com/playlist?id=2116417781
「欧美清新」春风捎来了你的情话,102万,http://music.163.com/playlist?id=2119536331
『节奏控』百听不厌的店铺音乐♪,16万,http://music.163.com/playlist?id=2126417153
戴上耳机，埋头学习，再加把力，中考等你,200万,http://music.163.com/playlist?id=2115445493
『三月电音炸曲⚡️』恕我直言你不配拥有抖腿,26万,http://music.163.com/playlist?id=2145722614
丨魔岩三杰与唐朝,10万,http://music.163.com/playlist?id=2146462515
「ACG」由衷的青睐，源自真心的美好,166万,http://music.163.com/playlist?id=2111401734
日系/无前奏：开口即跪 一秒沦陷,275万,http://music.163.com/playlist?id=2105681544
「古风」错身遇个你，穷尽诗家笔,254万,http://music.163.com/playlist?id=2118036706
[White Day]想要传达给你的爱恋！,83万,http://music.163.com/playlist?id=2132468088
[The Beatles]披头士翻唱精选合辑,18万,http://music.163.com/playlist?id=2151685198
你是我不想醒过来的白日梦,24万,http://music.163.com/playlist?id=2182304713
「日系」歌词里传达歌手想让你知道的信息,25万,http://music.163.com/playlist?id=2184305810
放飞青春｜开心的事情现在才要开始,19万,http://music.163.com/playlist?id=2180938960
只有你和时光知道我沉默的缘由,12万,http://music.163.com/playlist?id=2183366581
「不老女声」你 是 窗 前 深 浅 白 月 光,752万,http://music.163.com/playlist?id=2121679666
华语男声丨有些记忆 只有音乐可以唤起,473万,http://music.163.com/playlist?id=2122104724
⚡️18年2月新热电音推送,299万,http://music.163.com/playlist?id=2120602346
『欢快节奏』专业治愈各种不开心～,26万,http://music.163.com/playlist?id=2118657705
有没有一首歌会让你想起周华健,55万,http://music.163.com/playlist?id=2129450612
2010-2018百部爱情电影OST合集,58万,http://music.163.com/playlist?id=2136967635
值得循环的一百首日系男友音,268万,http://music.163.com/playlist?id=2108339599
华语男声 你来这走一遭 奇迹般万物生长,143万,http://music.163.com/playlist?id=2116641078
〔这！就是街舞〕BGM持续更新3.31,78万,http://music.163.com/playlist?id=2125962943
BBC | 大本尼磁性朗读 神探夏洛克原声合集,10万,http://music.163.com/playlist?id=2125763617
